0.00000 0.00000 0.00000 
0.00108 0.00000 0.00000 
0.00215 0.00000 0.00000 
0.00323 0.00000 0.00021 
0.00430 0.00001 0.00348 
0.00538 0.00046 0.02506 
0.00646 0.00553 0.10063 
0.00753 0.03452 0.25714 
0.00861 0.13725 0.45523 
0.00968 0.38243 0.58298 
0.01076 0.78180 0.57614 
0.01184 1.20352 0.53028 
0.01291 1.42591 0.60965 
0.01399 1.34806 0.82993 
0.01506 1.12586 1.01280 
0.01614 1.02098 0.99904 
0.01721 1.10484 0.84122 
0.01829 1.20543 0.72346 
0.01937 1.17570 0.73767 
0.02044 1.08738 0.81141 
0.02152 1.08229 0.83443 
0.02259 1.14942 0.78830 
0.02367 1.16878 0.74058 
0.02475 1.10910 0.75122 
0.02582 1.05720 0.81789 
0.02690 1.07500 0.92796 
0.02797 1.14563 1.17043 
0.02905 1.28816 1.80708 
0.03013 1.67938 3.25522 
0.03120 2.70641 5.99701 
0.03228 5.03064 10.39528 
0.03335 9.62642 16.37593 
0.03443 17.54956 23.11870 
0.03551 29.26415 29.14546 
0.03658 43.74178 33.08327 
0.03766 57.97789 34.75315 
0.03873 67.69685 35.60621 
0.03981 69.47971 37.70879 
0.04089 63.32106 41.71773 
0.04196 53.56181 45.65333 
0.04304 46.66041 46.15102 
0.04411 46.72497 41.66983 
0.04519 52.27448 34.68180 
0.04626 57.44669 30.12807 
0.04734 57.12738 31.00843 
0.04842 51.45365 35.41072 
0.04949 45.30109 38.34752 
0.05057 43.26681 36.76132 
0.05164 45.37523 32.41968 
0.05272 47.86657 29.62686 
0.05380 47.70733 30.48294 
0.05487 45.47802 33.04671 
0.05595 43.70180 34.10587 
0.05702 43.31659 32.86807 
0.05810 42.81416 31.27530 
0.05918 40.66087 31.14627 
0.06025 37.42569 32.03627 
0.06133 34.90562 32.21190 
0.06240 33.75542 30.99248 
0.06348 32.83546 29.37286 
0.06456 30.83374 28.49808 
0.06563 27.78461 28.25287 
0.06671 24.70842 27.64166 
0.06778 22.27073 26.13174 
0.06886 20.26234 24.16943 
0.06994 18.15618 22.47763 
0.07101 15.67401 21.24921 
0.07209 12.79715 20.15195 
0.07316 9.64481 18.86908 
0.07424 6.55115 17.41653 
0.07531 4.03733 16.00607 
0.07639 2.45590 14.78540 
0.07747 1.68592 13.74289 
0.07854 1.28759 12.75735 
0.07962 0.91074 11.68668 
0.08069 0.45463 10.46426 
0.08177 -0.11027 9.15866 
0.08285 -0.90694 7.91110 
0.08392 -2.06876 6.77365 
0.08500 -3.55914 5.62784 
0.08607 -5.14451 4.30432 
0.08715 -6.55759 2.78635 
0.08823 -7.69221 1.26819 
0.08930 -8.65962 0.00656 
0.09038 -9.65103 -0.87277 
0.09145 -10.71169 -1.43851 
0.09253 -11.64334 -1.87103 
0.09361 -12.16676 -2.33932 
0.09468 -12.21577 -2.92764 
0.09576 -12.06526 -3.62732 
0.09683 -12.14629 -4.37433 
0.09791 -12.72029 -5.10654 
0.09899 -13.71480 -5.81281 
0.10006 -14.84056 -6.54550 
0.10114 -15.84324 -7.39026 
0.10221 -16.66494 -8.41068 
0.10329 -17.42055 -9.59982 
0.10436 -18.25942 -10.87094 
0.10544 -19.24458 -12.10461 
0.10652 -20.33093 -13.22656 
0.10759 -21.43139 -14.24930 
0.10867 -22.49352 -15.23483 
0.10974 -23.51229 -16.21219 
0.11082 -24.47340 -17.13611 
0.11190 -25.29767 -17.93265 
0.11297 -25.86424 -18.58206 
0.11405 -26.11032 -19.14655 
0.11512 -26.11685 -19.71255 
