TITLE     = "Time Series Plot"
VARIABLES = "Solution Time"
"P[psf]"
ZONE T="Time Series Plot Zone"
 STRANDID=0, SOLUTIONTIME=0
 I=18000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.374999881E-03 -6.390403509E-01
 6.416666787E-03 -6.390401125E-01
 6.458333228E-03 -6.390412450E-01
 6.500000134E-03 -6.390410662E-01
 6.541666575E-03 -6.390423775E-01
 6.583333481E-03 -6.390422583E-01
 6.624999922E-03 -6.390433908E-01
 6.666666828E-03 -6.390430927E-01
 6.708333269E-03 -6.390441060E-01
 6.750000175E-03 -6.390435696E-01
 6.791666616E-03 -6.390442252E-01
 6.833333522E-03 -6.390432715E-01
 6.874999963E-03 -6.390437484E-01
 6.916666869E-03 -6.390425563E-01
 6.958333310E-03 -6.390427351E-01
 7.000000216E-03 -6.390416026E-01
 7.041666657E-03 -6.390419006E-01
 7.083333563E-03 -6.390408278E-01
 7.125000004E-03 -6.390411854E-01
 7.166666444E-03 -6.390402913E-01
 7.208333351E-03 -6.390409470E-01
 7.249999791E-03 -6.390402317E-01
 7.291666698E-03 -6.390410066E-01
 7.333333138E-03 -6.390404105E-01
 7.375000045E-03 -6.390408874E-01
 7.416666485E-03 -6.390399933E-01
 7.458333392E-03 -6.390403509E-01
 7.499999832E-03 -6.390391588E-01
 7.541666739E-03 -6.390394568E-01
 7.583333179E-03 -6.390382051E-01
 7.625000086E-03 -6.390382051E-01
 7.666666526E-03 -6.390367746E-01
 7.708333433E-03 -6.390366554E-01
 7.749999873E-03 -6.390350461E-01
 7.791666780E-03 -6.390348077E-01
 7.833333686E-03 -6.390331388E-01
 7.875000127E-03 -6.390329599E-01
 7.916666567E-03 -6.390312910E-01
 7.958333008E-03 -6.390311122E-01
 8.000000380E-03 -6.390295625E-01
 8.041666821E-03 -6.390293837E-01
 8.083333261E-03 -6.390279531E-01
 8.124999702E-03 -6.390278935E-01
 8.166667074E-03 -6.390264630E-01
 8.208333515E-03 -6.390264630E-01
 8.249999955E-03 -6.390250325E-01
 8.291666396E-03 -6.390250921E-01
 8.333333768E-03 -6.390236616E-01
 8.375000209E-03 -6.390237808E-01
 8.416666649E-03 -6.390224695E-01
 8.458333090E-03 -6.390227079E-01
 8.500000462E-03 -6.390216947E-01
 8.541666903E-03 -6.390220523E-01
 8.583333343E-03 -6.390211582E-01
 8.624999784E-03 -6.390217543E-01
 8.666666225E-03 -6.390210390E-01
 8.708333597E-03 -6.390218735E-01
 8.750000037E-03 -6.390212774E-01
 8.791666478E-03 -6.390221119E-01
 8.833332919E-03 -6.390213966E-01
 8.875000291E-03 -6.390220523E-01
 8.916666731E-03 -6.390213370E-01
 8.958333172E-03 -6.390222311E-01
 8.999999613E-03 -6.390218139E-01
 9.041666985E-03 -6.390230060E-01
 9.083333425E-03 -6.390228271E-01
 9.124999866E-03 -6.390241981E-01
 9.166666307E-03 -6.390243173E-01
 9.208333679E-03 -6.390262246E-01
 9.250000119E-03 -6.390267611E-01
 9.291666560E-03 -6.390287280E-01
 9.333333001E-03 -6.390292048E-01
 9.375000373E-03 -6.390309334E-01
 9.416666813E-03 -6.390309930E-01
 9.458333254E-03 -6.390324235E-01
 9.499999695E-03 -6.390323639E-01
 9.541667067E-03 -6.390335560E-01
 9.583333507E-03 -6.390331984E-01
 9.624999948E-03 -6.390342712E-01
 9.666666389E-03 -6.390336752E-01
 9.708333760E-03 -6.390345097E-01
 9.750000201E-03 -6.390337348E-01
 9.791666642E-03 -6.390344501E-01
 9.833333082E-03 -6.390335560E-01
 9.875000454E-03 -6.390339136E-01
 9.916666895E-03 -6.390327215E-01
 9.958333336E-03 -6.390330791E-01
 9.999999776E-03 -6.390319467E-01
 1.004166622E-02 -6.390325427E-01
 1.008333359E-02 -6.390318274E-01
 1.012500003E-02 -6.390327811E-01
 1.016666647E-02 -6.390323639E-01
 1.020833291E-02 -6.390334368E-01
 1.025000028E-02 -6.390333772E-01
 1.029166672E-02 -6.390346885E-01
 1.033333316E-02 -6.390346885E-01
 1.037499961E-02 -6.390361190E-01
 1.041666698E-02 -6.390359998E-01
 1.045833342E-02 -6.390373707E-01
 1.049999986E-02 -6.390371323E-01
 1.054166630E-02 -6.390385032E-01
 1.058333367E-02 -6.390383840E-01
 1.062500011E-02 -6.390395761E-01
 1.066666655E-02 -6.390393376E-01
 1.070833299E-02 -6.390404105E-01
 1.075000037E-02 -6.390400529E-01
 1.079166681E-02 -6.390411258E-01
 1.083333325E-02 -6.390409470E-01
 1.087499969E-02 -6.390420198E-01
 1.091666706E-02 -6.390414834E-01
 1.095833350E-02 -6.390424371E-01
 1.099999994E-02 -6.390417218E-01
 1.104166638E-02 -6.390423775E-01
 1.108333375E-02 -6.390416622E-01
 1.112500019E-02 -6.390423775E-01
 1.116666663E-02 -6.390416622E-01
 1.120833308E-02 -6.390423775E-01
 1.125000045E-02 -6.390415430E-01
 1.129166689E-02 -6.390420794E-01
 1.133333333E-02 -6.390410066E-01
 1.137499977E-02 -6.390414238E-01
 1.141666621E-02 -6.390402317E-01
 1.145833358E-02 -6.390405893E-01
 1.150000002E-02 -6.390395164E-01
 1.154166646E-02 -6.390399337E-01
 1.158333290E-02 -6.390390396E-01
 1.162500028E-02 -6.390398741E-01
 1.166666672E-02 -6.390393972E-01
 1.170833316E-02 -6.390402317E-01
 1.174999960E-02 -6.390395164E-01
 1.179166697E-02 -6.390405893E-01
 1.183333341E-02 -6.390399933E-01
 1.187499985E-02 -6.390408278E-01
 1.191666629E-02 -6.390404701E-01
 1.195833366E-02 -6.390412450E-01
 1.200000010E-02 -6.390404701E-01
 1.204166654E-02 -6.390413046E-01
 1.208333299E-02 -6.390404701E-01
 1.212500036E-02 -6.390411258E-01
 1.216666680E-02 -6.390403509E-01
 1.220833324E-02 -6.390410662E-01
 1.224999968E-02 -6.390402317E-01
 1.229166705E-02 -6.390407085E-01
 1.233333349E-02 -6.390399337E-01
 1.237499993E-02 -6.390404105E-01
 1.241666637E-02 -6.390391588E-01
 1.245833375E-02 -6.390395164E-01
 1.250000019E-02 -6.390383244E-01
 1.254166663E-02 -6.390386224E-01
 1.258333307E-02 -6.390373111E-01
 1.262500044E-02 -6.390374899E-01
 1.266666688E-02 -6.390361190E-01
 1.270833332E-02 -6.390361190E-01
 1.274999976E-02 -6.390346289E-01
 1.279166620E-02 -6.390346289E-01
 1.283333357E-02 -6.390331388E-01
 1.287500001E-02 -6.390331388E-01
 1.291666646E-02 -6.390317082E-01
 1.295833290E-02 -6.390320659E-01
 1.300000027E-02 -6.390309930E-01
 1.304166671E-02 -6.390315294E-01
 1.308333315E-02 -6.390307546E-01
 1.312499959E-02 -6.390314698E-01
 1.316666696E-02 -6.390306950E-01
 1.320833340E-02 -6.390314698E-01
 1.324999984E-02 -6.390306354E-01
 1.329166628E-02 -6.390312910E-01
 1.333333366E-02 -6.390305161E-01
 1.337500010E-02 -6.390312910E-01
 1.341666654E-02 -6.390305758E-01
 1.345833298E-02 -6.390315890E-01
 1.350000035E-02 -6.390310526E-01
 1.354166679E-02 -6.390321255E-01
 1.358333323E-02 -6.390318871E-01
 1.362499967E-02 -6.390331984E-01
 1.366666704E-02 -6.390329599E-01
 1.370833348E-02 -6.390342712E-01
 1.374999993E-02 -6.390339732E-01
 1.379166637E-02 -6.390350461E-01
 1.383333374E-02 -6.390346289E-01
 1.387500018E-02 -6.390357018E-01
 1.391666662E-02 -6.390350461E-01
 1.395833306E-02 -6.390357614E-01
 1.400000043E-02 -6.390349865E-01
 1.404166687E-02 -6.390356421E-01
 1.408333331E-02 -6.390349269E-01
 1.412499975E-02 -6.390358210E-01
 1.416666713E-02 -6.390353441E-01
 1.420833357E-02 -6.390367150E-01
 1.425000001E-02 -6.390365958E-01
 1.429166645E-02 -6.390382051E-01
 1.433333289E-02 -6.390382051E-01
 1.437500026E-02 -6.390397549E-01
 1.441666670E-02 -6.390396357E-01
 1.445833314E-02 -6.390409470E-01
 1.449999958E-02 -6.390404701E-01
 1.454166695E-02 -6.390414238E-01
 1.458333340E-02 -6.390408874E-01
 1.462499984E-02 -6.390416622E-01
 1.466666628E-02 -6.390407681E-01
 1.470833365E-02 -6.390414238E-01
 1.475000009E-02 -6.390403509E-01
 1.479166653E-02 -6.390407085E-01
 1.483333297E-02 -6.390396953E-01
 1.487500034E-02 -6.390402317E-01
 1.491666678E-02 -6.390392184E-01
 1.495833322E-02 -6.390398145E-01
 1.499999966E-02 -6.390388012E-01
 1.504166704E-02 -6.390393972E-01
 1.508333348E-02 -6.390386224E-01
 1.512499992E-02 -6.390393972E-01
 1.516666636E-02 -6.390385628E-01
 1.520833373E-02 -6.390391588E-01
 1.525000017E-02 -6.390382051E-01
 1.529166661E-02 -6.390387416E-01
 1.533333305E-02 -6.390376687E-01
 1.537500042E-02 -6.390380859E-01
 1.541666687E-02 -6.390368342E-01
 1.545833331E-02 -6.390370727E-01
 1.549999975E-02 -6.390359998E-01
 1.554166712E-02 -6.390364766E-01
 1.558333356E-02 -6.390354037E-01
 1.562500000E-02 -6.390360594E-01
 1.566666737E-02 -6.390351653E-01
 1.570833288E-02 -6.390358806E-01
 1.575000025E-02 -6.390351653E-01
 1.579166576E-02 -6.390360594E-01
 1.583333313E-02 -6.390354037E-01
 1.587500051E-02 -6.390361786E-01
 1.591666602E-02 -6.390354037E-01
 1.595833339E-02 -6.390360594E-01
 1.600000076E-02 -6.390351653E-01
 1.604166627E-02 -6.390357018E-01
 1.608333364E-02 -6.390348077E-01
 1.612499915E-02 -6.390354633E-01
 1.616666652E-02 -6.390344501E-01
 1.620833389E-02 -6.390350461E-01
 1.624999940E-02 -6.390342116E-01
 1.629166678E-02 -6.390350461E-01
 1.633333415E-02 -6.390342712E-01
 1.637499966E-02 -6.390351057E-01
 1.641666703E-02 -6.390345693E-01
 1.645833254E-02 -6.390355825E-01
 1.649999991E-02 -6.390349865E-01
 1.654166728E-02 -6.390359402E-01
 1.658333279E-02 -6.390352845E-01
 1.662500016E-02 -6.390359998E-01
 1.666666754E-02 -6.390350461E-01
 1.670833305E-02 -6.390355229E-01
 1.675000042E-02 -6.390342712E-01
 1.679166593E-02 -6.390346289E-01
 1.683333330E-02 -6.390333176E-01
 1.687500067E-02 -6.390334964E-01
 1.691666618E-02 -6.390320659E-01
 1.695833355E-02 -6.390320659E-01
 1.700000092E-02 -6.390305758E-01
 1.704166643E-02 -6.390306354E-01
 1.708333381E-02 -6.390292645E-01
 1.712499931E-02 -6.390296221E-01
 1.716666669E-02 -6.390283704E-01
 1.720833406E-02 -6.390288472E-01
 1.724999957E-02 -6.390277743E-01
 1.729166694E-02 -6.390283108E-01
 1.733333245E-02 -6.390272379E-01
 1.737499982E-02 -6.390274167E-01
 1.741666719E-02 -6.390258074E-01
 1.745833270E-02 -6.390256286E-01
 1.750000007E-02 -6.390239000E-01
 1.754166745E-02 -6.390237808E-01
 1.758333296E-02 -6.390219331E-01
 1.762500033E-02 -6.390219331E-01
 1.766666584E-02 -6.390204430E-01
 1.770833321E-02 -6.390205622E-01
 1.775000058E-02 -6.390194893E-01
 1.779166609E-02 -6.390202045E-01
 1.783333346E-02 -6.390195489E-01
 1.787500083E-02 -6.390206814E-01
 1.791666634E-02 -6.390203834E-01
 1.795833372E-02 -6.390216947E-01
 1.799999923E-02 -6.390213966E-01
 1.804166660E-02 -6.390226483E-01
 1.808333397E-02 -6.390223503E-01
 1.812499948E-02 -6.390236020E-01
 1.816666685E-02 -6.390233040E-01
 1.820833422E-02 -6.390245557E-01
 1.824999973E-02 -6.390242577E-01
 1.829166710E-02 -6.390253901E-01
 1.833333261E-02 -6.390247941E-01
 1.837499999E-02 -6.390256882E-01
 1.841666736E-02 -6.390247941E-01
 1.845833287E-02 -6.390250921E-01
 1.850000024E-02 -6.390237808E-01
 1.854166575E-02 -6.390240192E-01
 1.858333312E-02 -6.390224099E-01
 1.862500049E-02 -6.390224099E-01
 1.866666600E-02 -6.390207410E-01
 1.870833337E-02 -6.390205026E-01
 1.875000075E-02 -6.390186548E-01
 1.879166625E-02 -6.390185356E-01
 1.883333363E-02 -6.390166879E-01
 1.887499914E-02 -6.390164495E-01
 1.891666651E-02 -6.390146017E-01
 1.895833388E-02 -6.390144825E-01
 1.899999939E-02 -6.390128732E-01
 1.904166676E-02 -6.390132308E-01
 1.908333413E-02 -6.390120983E-01
 1.912499964E-02 -6.390126944E-01
 1.916666701E-02 -6.390119791E-01
 1.920833252E-02 -6.390128732E-01
 1.924999990E-02 -6.390121579E-01
 1.929166727E-02 -6.390130520E-01
 1.933333278E-02 -6.390123963E-01
 1.937500015E-02 -6.390131712E-01
 1.941666752E-02 -6.390122771E-01
 1.945833303E-02 -6.390131712E-01
 1.950000040E-02 -6.390122175E-01
 1.954166591E-02 -6.390129924E-01
 1.958333328E-02 -6.390121579E-01
 1.962500066E-02 -6.390129924E-01
 1.966666616E-02 -6.390124559E-01
 1.970833354E-02 -6.390137076E-01
 1.975000091E-02 -6.390135288E-01
 1.979166642E-02 -6.390150189E-01
 1.983333379E-02 -6.390147805E-01
 1.987499930E-02 -6.390161514E-01
 1.991666667E-02 -6.390158534E-01
 1.995833404E-02 -6.390171051E-01
 1.999999955E-02 -6.390166283E-01
 2.004166692E-02 -6.390178204E-01
 2.008333243E-02 -6.390172243E-01
 2.012499981E-02 -6.390179396E-01
 2.016666718E-02 -6.390169859E-01
 2.020833269E-02 -6.390175223E-01
 2.025000006E-02 -6.390161514E-01
 2.029166743E-02 -6.390163302E-01
 2.033333294E-02 -6.390146613E-01
 2.037500031E-02 -6.390143037E-01
 2.041666582E-02 -6.390122771E-01
 2.045833319E-02 -6.390118599E-01
 2.050000057E-02 -6.390097737E-01
